fname,label
train_00001.wav,Barking
train_00002.wav,Barking
train_00003.wav,Barking
train_00004.wav,Barking
train_00005.wav,Barking
train_00006.wav,Barking
train_00007.wav,Barking
train_00008.wav,Barking
train_00009.wav,Barking
train_00010.wav,Barking
train_00011.wav,Barking
train_00012.wav,Barking
train_00013.wav,Barking
train_00014.wav,Barking
train_00015.wav,Barking
train_00016.wav,Barking
train_00017.wav,Barking
train_00018.wav,Barking
train_00019.wav,Barking
train_00020.wav,Barking
train_00021.wav,Barking
train_00022.wav,Barking
train_00023.wav,Barking
train_00024.wav,Barking
train_00025.wav,Barking
train_00026.wav,Barking
train_00027.wav,Barking
train_00028.wav,Barking
train_00029.wav,Barking
train_00030.wav,Barking
train_00031.wav,Barking
train_00032.wav,Barking
train_00033.wav,Barking
train_00034.wav,Barking
train_00035.wav,Barking
train_00036.wav,Barking
train_00037.wav,Barking
train_00038.wav,Barking
train_00039.wav,Barking
train_00040.wav,Barking
train_00041.wav,Barking
train_00042.wav,Barking
train_00043.wav,Barking
train_00044.wav,Barking
train_00045.wav,Barking
train_00046.wav,Barking
train_00047.wav,Barking
train_00048.wav,Barking
train_00049.wav,Barking
train_00050.wav,Barking
train_00051.wav,Barking
train_00052.wav,Barking
train_00053.wav,Barking
train_00054.wav,Barking
train_00055.wav,Barking
train_00056.wav,Barking
train_00057.wav,Barking
train_00058.wav,Barking
train_00059.wav,Barking
train_00060.wav,Barking
train_00061.wav,Barking
train_00062.wav,Barking
train_00063.wav,Barking
train_00064.wav,Barking
train_00065.wav,Barking
train_00066.wav,Barking
train_00067.wav,Barking
train_00068.wav,Barking
train_00069.wav,Barking
train_00070.wav,Barking
train_00071.wav,Barking
train_00072.wav,Barking
train_00073.wav,Barking
train_00074.wav,Barking
train_00075.wav,Barking
train_00076.wav,Barking
train_00077.wav,Barking
train_00078.wav,Barking
train_00079.wav,Barking
train_00080.wav,Barking
train_00081.wav,Barking
train_00082.wav,Barking
train_00083.wav,Barking
train_00084.wav,Barking
train_00085.wav,Barking
train_00086.wav,Barking
train_00087.wav,Barking
train_00088.wav,Barking
train_00089.wav,Barking
train_00090.wav,Barking
train_00091.wav,Barking
train_00092.wav,Barking
train_00093.wav,Barking
train_00094.wav,Barking
train_00095.wav,Barking
train_00096.wav,Barking
train_00097.wav,Barking
train_00098.wav,Barking
train_00099.wav,Barking
train_00100.wav,Barking
train_00101.wav,Barking
